"name","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","Epoch..TDB.","e","i..deg.","w..deg.","Node..deg.","q..AU.","Q..AU.","P..yr.","MOID..AU.","A1..AU.d.2.","A2..AU.d.2.","A3..AU.d.2.","DT..d.","ref","Object_name","crush","avg_speed"
"Elephant Moraine 83339",7975,"Valid","L6",72.7,"Found",1983,-76.32806,157.21195,"(-76.32806, 157.21195)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83349",7985,"Valid","H5",27.5,"Found",1983,-76.29806,157.275,"(-76.29806, 157.275)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83350",7986,"Valid","L6",88.7,"Found",1983,-76.29805,157.17778,"(-76.29805, 157.17778)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83351",7987,"Valid","H5",80.8,"Found",1983,-76.30972,157.31333,"(-76.30972, 157.31333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83352",7988,"Valid","LL6",20.4,"Found",1983,-76.29583,157.23917,"(-76.29583, 157.23917)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83353",7989,"Valid","L6",53.8,"Found",1983,-76.30667,157.18195,"(-76.30667, 157.18195)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83354",7990,"Valid","L6",8.4,"Found",1983,-76.32639,157.18833,"(-76.32639, 157.18833)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83355",7991,"Valid","C2-ung",66.2,"Found",1983,-76.28583,157.27861,"(-76.28583, 157.27861)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83358",7994,"Valid","L6",25.7,"Found",1983,-76.30028,157.27083,"(-76.30028, 157.27083)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83359",7995,"Valid","LL6",66.2,"Found",1983,-76.32806,157.19944,"(-76.32806, 157.19944)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83360",7996,"Valid","H6",40.1,"Found",1983,-76.31778,157.26055,"(-76.31778, 157.26055)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83368",8004,"Valid","L6",50.9,"Found",1983,-76.26667,157.15778,"(-76.26667, 157.15778)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83371",8007,"Valid","L6",169.9,"Found",1983,-76.28306,157.19639,"(-76.28306, 157.19639)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83372",8008,"Valid","H5",168.9,"Found",1983,-76.27472,157.18472,"(-76.27472, 157.18472)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83373",8009,"Valid","H6",158.9,"Found",1983,-76.31722,157.26,"(-76.31722, 157.26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83374",8010,"Valid","H6",95.8,"Found",1983,-76.29944,157.2925,"(-76.29944, 157.2925)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephant Moraine 83375",8011,"Valid","L6",266.6,"Found",1983,-76.29028,157.18806,"(-76.29028, 157.18806)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
